,<n_e>,<n_e> Err,Blob Size [rhos],Blob size Err [rhos],Bt,Cs,Efold,Efold GPR,Efold GPR Err,EfoldErr,Ip,Ip Err,Lambda Div,Lambda Div Err,Rho,Rhos,Rhos Err,Shots,Tau,Tau Err,Theta Div,Theta Div Err,vP,vP Err,vPExB Err,vR,vR Err,Z,Mu,Conf
0,3.5696863254631416e+19,inf,8.286638493647555,7.240273878929734,-1.424403190612793,40054.39248597878,0.030834938809644632,0.013788778165298776,0.013788778165298776,0.021830662704594397,243.306171875,889.9601440429688,0.2516880086904819,0.00993572118933413,1.0197001255749119,0.0014425584498036009,,51080.0,1.2624497945104695e-05,1.3210533279239858e-06,1.102558170129714,,73.63608059495857,58.255885483526924,1086.4716683566153,944.0184465175201,335.83910701021045,1,2,LSN
1,3.5645274169056166e+19,inf,7.939897811826382,1.8974851730807287,-1.4243844747543335,35162.15166180107,0.011115147506986568,0.013129097319855948,0.013129097319855948,0.0016272666876583101,243.33153125,886.8202514648438,0.29804991633919037,0.018610605843784437,1.0393963451588741,0.0012747603181357517,,51080.0,6.100428861016466e-06,6.164084870649849e-08,1.1077221393880945,,1292.8505185020513,129.52805969935798,582.7404655926117,1039.8479146874279,225.36702318838564,1,2,LSN
2,3.560943888608369e+19,inf,5.927081786740846,1.9903696481076993,-1.4243565797805786,33713.95492323987,0.03783040786460909,0.01875332305863448,0.01875332305863448,0.08245755174761078,243.375515625,926.7451782226562,0.2255770218221329,0.014112933294686526,1.0589491927087498,0.001230540301588027,,51080.0,7.306394189009888e-06,5.48679231528058e-08,0.6147235697134129,,235.12637825302215,60.012470429582905,581.0964882033884,970.1508607419316,211.58779576521368,1,2,LSN
3,3.5560948224275513e+19,inf,10.281255403027009,3.743894326144328,-1.4243428707122803,34630.91823751453,0.02438869473014777,0.028685929105339843,0.028685929105339843,0.0344834712371101,243.4219375,999.132568359375,0.2070087417611752,0.0016738239034169106,1.0800359381746816,0.0012723368997643373,,51080.0,1.6557885115865757e-05,1.2343868227623082e-07,2.7530851205019022,,234.42276137648253,74.60275236173842,324.2452459966262,754.4487120004552,133.41385280007904,1,2,LSN
4,5.325589682444671e+19,inf,4.079089107348771,4.475791363208782,-1.425277829170227,46606.48121793852,0.006164445450563855,0.010293585310477943,0.010293585310477943,0.00013583267352594263,246.01440625,2019.4871826171875,4.592134311781808,0.8429109857784425,1.0066419272843932,0.0016763179248785159,,51084.0,5.753646294824644e-06,1.2252269039616117e-06,0.15106842904839524,,-753.6349084703734,168.40823262873818,1546.0685187525887,918.9225207796529,967.5698390438259,1,2,LSN
5,5.312142655236971e+19,inf,9.922746369353042,2.003940990201126,-1.4252901077270508,38951.0481049077,0.015892873899658773,0.04076508126226754,0.04076508126226754,0.01489446624315984,245.974265625,2059.840087890625,2.583936811759025,0.5376018101288019,1.0282409411834323,0.0014090357807229567,,51084.0,9.277752355491274e-06,9.326975113339039e-08,1.9457626851417071,,1040.8899369125809,103.46025919849339,464.0794278185355,1089.759151772708,191.26718350921746,1,2,LSN
6,5.299177214122236e+19,inf,8.290215755088768,2.8039172346844556,-1.4252996444702148,31664.68673089847,0.0904559903078934,0.036661383759023,0.036661383759023,0.15394666000570875,245.918859375,2141.59326171875,0.8792864784799902,0.16595751580106205,1.0486616234685846,0.0011533761503761666,,51084.0,9.669430150675916e-06,4.277020199723961e-09,1.3306384642241558,,299.186154913395,79.73728547125963,581.9357104548494,942.5161759893906,196.26736099918645,1,2,LSN
7,5.286121173249373e+19,inf,16.088014281327673,13.872075883249318,-1.425288438796997,36854.69631423632,0.6299467469126553,0.0045162417859374105,0.0045162417859374105,2.7928634184446155,245.87334375,2201.355712890625,0.8392809327645963,0.09460198338214698,1.0703277337516257,0.001353009471253347,,51084.0,1.8225111074704704e-05,5.928852675896328e-08,8.499314965902355,,-2.03241477303742,1.7266375005647845,429.64396853174856,1194.3523466605543,176.13989001400964,1,2,LSN
8,3.612286243774346e+19,inf,,,-1.4245810508728027,45696.95083655291,0.013768903868268428,0.018641163806521362,0.018641163806521362,0.00032454735769573936,242.90903125,652.5653076171875,1.091241654068164,0.05913711374820086,1.0207519515805084,0.0016594825268739773,,51124.0,6.980213401321012e-06,1.30399288588077e-07,,,,,1359.3440926807855,1433.4071976787134,552.1395221623371,1,2,LSN
9,3.6080737948260106e+19,inf,4.384614761647804,1.5285712190533682,-1.4246094226837158,38996.78639728696,0.07627742312043098,0.02146978539205941,0.02146978539205941,0.15285262243231076,242.9205,638.157958984375,0.6029190054330865,0.15527779444941736,1.03486923569908,0.0014224642673945226,,51124.0,4.718515476062975e-06,8.938620443544835e-08,0.1542513811364932,,1176.24419437539,115.87591428507324,538.4047085724636,603.0077278532934,201.32983953498504,1,2,LSN
